Компания,Отрасль,Сайт,Целевая роль,ЛПР,Телефоны,Emails,Соцсети,Приоритет,Статус
Трест Белсантехмонтаж №1,Строительство / девелопмент,trest.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Савицкий В.Э.,+375 17 292-00-54; +375 17 292-14-31; +375 222 31-17-38; +375 212 23-10-90; +375 232 39-37-74,info@trest.by,,B,собран
Дорстроймонтажтрест,Строительство / девелопмент,dsmt.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Рубан О.В.; Заместитель генерального директора — Белый С.А.,+375 17 225-77-07; +375 17 225-77-08; +375 17 225-37-62; +375 232 95-54-71; +375 2235 6-42-51; +375 2235 6-45-83; +375 163 49-22-34; +375 163 45-44-70,dst@dsmt.by,,B,собран
Минскоблдорстрой,Строительство / девелопмент,minskobldorstroy.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Колесень М.В.,+375 17 368-37-92,info@minskobldorstroy.by,,B,собран
Брестоблдорстрой,Строительство / девелопмент,brest-ods.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Панченко С.С.,+375 162 25-19-00; +375 162 25-19-02,br_ods@brest.by,,B,собран
Гомельоблдорстрой,Строительство / девелопмент,gomods.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Кравченко И.И.,+375 232 33-18-94; +375 232 33-15-46; +375 232 33-19-46; +375 232 55-96-79; +375 232 33-18-96; +375 232 35-68-29,kanc@gomods.by; ok@gomods.by; market@gomods.by; ursad@gomods.by,,B,собран
Витебскоблдорстрой,Строительство / девелопмент,vods.vitebsk.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Матвеев В.С.; Первый заместитель генерального директора - главный инженер — Кутас М.Р.,+375 212 37-26-00; +375 212 37-26-01; +375 212 37-26-17,vods@vods.by,,B,собран
Могилевводстрой,Строительство / девелопмент,vodstroy.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Найден П.,+375 222 22-65-25,vodstroy@mogilev.by,,B,собран
Институт Белгоспроект,Строительство / девелопмент,belgos.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Юшкевич А.В.,+375 17 203-89-82; +375 17 203-82-11; +375 17 203-85-60; +375 17 209-48-87; +375 17 226-96-85; +375 29 155-75-12,belgos@belgos.by,,B,собран
Минскпроект,Строительство / девелопмент,minskproekt.by,Коммерческий директор / директор по маркетингу,Директор — Зизов В.В.,+375 17 200-67-66; +375 17 200-61-97; +375 17 200-62-62; +375 17 200-70-57,info@minskproekt.by,,B,собран
Минскинжпроект,Строительство / девелопмент,mip.by,Коммерческий директор / директор по маркетингу,Директор — Говорко А.П.,+375 17 379-53-75,info@mip.by,,B,собран
Институт Минскгражданпроект,Строительство / девелопмент,mgp.by,Коммерческий директор / директор по маркетингу,Директор — Быковский О.М.,+375 17 200-91-35; +375 17 362-91-35; +375 17 320-18-99,office@mgp.by,,B,собран
Институт Гомельгражданпроект,Строительство / девелопмент,iggp.by,Коммерческий директор / директор по маркетингу,Директор — Гайкевич Д.С.,+375 232 34-41-74; +375 232 34-41-70,info@iggp.by,,B,собран
Институт Гродногражданпроект,Строительство / девелопмент,ggp.by,Коммерческий директор / директор по маркетингу,Директор — Дешко В.И.; Первый заместитель директора - главный инженер — Селедцов М.А.,+375 152 39-88-02; +375 152 77-20-50,ggp@ggp.by,,B,собран
Институт Витебскгражданпроект,Строительство / девелопмент,vgp.by,Коммерческий директор / директор по маркетингу,Директор — Панасюк В.В.; Заместитель директора по экономике — Савченко И.С.,+375 212 36-01-14; +375 212 36-01-16; +375 29 165-70-65,vit@vgp.by; nf@vgp.by,,B,собран
Брестпроект,Строительство / девелопмент,brestproekt.by,Коммерческий директор / директор по маркетингу,Директор — Хрущ О.С.,+375 162 21-71-35; +375 162 21-65-21,info@brestproject.by,,B,собран
Белпромпроект,Строительство / девелопмент,belprom.by,Коммерческий директор / директор по маркетингу,Директор — Перегуд А.В.,+375 17 319-57-84; +375 17 364-54-74; +375 17 338-62-15,bpp@belprom.by,,B,собран
Институт Белжилпроект,Строительство / девелопмент,belzil.by,Коммерческий директор / директор по маркетингу,Директор — Жеймо Д.О.; Заместитель директора - главный инженер — Новиков Ф.В.,+375 17 375-16-83; +375 17 397-60-28,info@belzil.by,,B,собран
Минсккабель,Промышленность / производство,minskkabel.by,Директор по цифровизации / IT-директор,Генеральный директор — Костеневич Е.Е.,+375 17 397-22-98; +375 17 397-86-83; +375 17 396-28-56; +375 17 397-89-56; +375 17 397-93-12,mail@minskkabel.by,,B,собран
МЭТЗ им. В.И. Козлова,Промышленность / производство,metz.by,Директор по цифровизации / IT-директор,Генеральный директор — Радевич А.М.,+375 17 325-91-99; +375 17 272-27-27; +375 17 369-27-27; +375 17 374-93-01; +375 17 330-22-07; +375 17 358-89-64; +375 17 375-95-03; +375 17 330-23-29; +375 17 330-23-28; +375 17 330-22-37,info@metz.by; bz@metz.by,,B,собран
Борисовский завод пластмассовых изделий,Промышленность / производство,bzpi.by,Директор по цифровизации / IT-директор,Директор — Козловский В.В.,+375 17 779-08-00; +375 17 779-08-28; +375 17 779-08-29; +375 17 779-08-20; +375 17 779-08-21; +375 17 779-08-24; +375 17 779-08-25; +375 17 779-08-50,bzpi@bzpi.by,,B,собран
Оршанский инструментальный завод,Промышленность / производство,orshiz.by,Директор по цифровизации / IT-директор,Директор — Мойжик Л.И.; Заместитель директора - главный инженер — Волков И.В.,+375 216 51-69-00; +375 216 51-69-07; +375 216 51-68-96; +375 216 51-68-98,orshiz@vitebsk.by,,B,собран
Сморгонский завод оптического станкостроения,Промышленность / производство,szos.by,Директор по цифровизации / IT-директор,Директор — Крачковский В.М.,+375 1592 3-45-81; +375 1592 2-48-03; +375 1592 2-48-01; +375 1592 2-25-25,omis@szos.by; smorgonzos@gmail.com,,B,собран
Молодечненский станкостроительный завод,Промышленность / производство,mcz.by,Директор по цифровизации / IT-директор,Директор — Гомон С.В.,+375 17 673-79-70; +375 17 673-68-31; +375 17 673-59-83; +375 17 673-59-10; +375 17 673-79-93,stanki@mcz.by,,B,собран
Беларускабель,Промышленность / производство,belaruskabel.by,Директор по цифровизации / IT-директор,Директор — Раковчук Д.М.,+375 236 32-32-29; +375 236 25-23-69,vc@belaruskabel.by,,B,собран
Мостовдрев,Промышленность / производство,mostovdrev.by,Директор по цифровизации / IT-директор,Генеральный директор — Ососов С.Б.,+375 1515 6-46-31; +375 1515 6-46-15; +375 1515 6-46-25; +375 1515 6-46-01,box@mostovdrev.by; marketing@mostovdrev.by; inbox@mostovdrev.by,,B,собран
